{SRC/DEST}{Vietnamský Text}{TXT}|{DEST}{Vietnamská Fonetika}{TXT}|{SRC/DEST}{Český Text}{TXT}|{SRC/DEST}{Vietnamská Výslovnost}{AUDIO}|{CAT}{Téma}{CAT}|{GRP}{Kategorie}{GRP}
ai|1|kdo|Lekce1_words_audio.mp3,6-2|Lekce 1|Slovní Zásoba
bác sĩ|5,3|lekar, lekarka|Lekce1_words_audio.mp3,11-3|Lekce 1|Slovní Zásoba
bệnh viện|6,6|nemocnice|Lekce1_words_audio.mp3,17-2|Lekce 1|Slovní Zásoba
bưun điện|1,6|posta|Lekce1_words_audio.mp3,21-2|Lekce 1|Slovní Zásoba
cầu|2|most|Lekce1_words_audio.mp3,26-2|Lekce 1|Slovní Zásoba
chào|2|zdravit|Lekce1_words_audio.mp3,29-3|Lekce 1|Slovní Zásoba
chẳng|4|zaporka|Lekce1_words_audio.mp3,35-2|Lekce 1|Slovní Zásoba
chợ|6|trziste|Lekce1_words_audio.mp3,40-2|Lekce 1|Slovní Zásoba
chùa|2|buddhisticka svatyne|Lekce1_words_audio.mp3,45-2|Lekce 1|Slovní Zásoba
cô giáo|1,5|pani ucitelka|Lekce1_words_audio.mp3,50-2|Lekce 1|Slovní Zásoba
công nhân|1,1|delnik, delnice|Lekce1_words_audio.mp3,54-3|Lekce 1|Slovní Zásoba
công viên|1,1| park|Lekce1_words_audio.mp3,58-3|Lekce 1|Slovní Zásoba
cũng|3|take|Lekce1_words_audio.mp3,63-2|Lekce 1|Slovní Zásoba
dạ|6|ano, prosim|Lekce1_words_audio.mp3,67-2|Lekce 1|Slovní Zásoba
đây|1|1. zde, 2. toto|Lekce1_words_audio.mp3,71-2|Lekce 1|Slovní Zásoba
đấy|5|1. tam, 2. tamto|Lekce1_words_audio.mp3,74-2|Lekce 1|Slovní Zásoba
đó|5|1. tam, 2. tamto|Lekce1_words_audio.mp3,78-2|Lekce 1|Slovní Zásoba
gì|2|co?|Lekce1_words_audio.mp3,83-2|Lekce 1|Slovní Zásoba
giáo vien|5,1|ucitel, ucitelka|Lekce1_words_audio.mp3,87-3|Lekce 1|Slovní Zásoba
hiệu ăn|6,1|restaurace|Lekce1_words_audio.mp3,91-2|Lekce 1|Slovní Zásoba
hiệu may|6,1|krejcovstvi|Lekce1_words_audio.mp3,95-3|Lekce 1|Slovní Zásoba
hiệu sách|6,5|knihkupectvi|Lekce1_words_audio.mp3,99-3|Lekce 1|Slovní Zásoba
họa sĩ|6,3|malir, malirka|Lekce1_words_audio.mp3,104-3|Lekce 1|Slovní Zásoba
học sinh|6,1|zak, zakyne|Lekce1_words_audio.mp3,109-3|Lekce 1|Slovní Zásoba
hồ|2|jezero, velky rybnik|Lekce1_words_audio.mp3,114-2|Lekce 1|Slovní Zásoba
khách sạn|5,6|hotel|Lekce1_words_audio.mp3,118-2|Lekce 1|Slovní Zásoba
không|1|1. ne, 2. zaporka|Lekce1_words_audio.mp3,123-2|Lekce 1|Slovní Zásoba
kĩ sư|3,1|inzenyr, inzenyrka|Lekce1_words_audio.mp3,126-3|Lekce 1|Slovní Zásoba
kí túc xá|5,5,5|studentska kolej, internat|Lekce1_words_audio.mp3,131-3|Lekce 1|Slovní Zásoba
kia|1|1. tam, 2. tamto|Lekce1_words_audio.mp3,135-2|Lekce 1|Slovní Zásoba
là|2|byt|Lekce1_words_audio.mp3,139-2|Lekce 1|Slovní Zásoba
lớp|5|skolni trida|Lekce1_words_audio.mp3,143-2|Lekce 1|Slovní Zásoba
lớp học|5,6|skolni trida|Lekce1_words_audio.mp3,147-2|Lekce 1|Slovní Zásoba
nhà báo|2,5|novinả, novinarka|Lekce1_words_audio.mp3,153-3|Lekce 1|Slovní Zásoba
nhà ga|2,1|nadrazi|Lekce1_words_audio.mp3,157-3|Lekce 1|Slovní Zásoba
nhà hát|2,5|divadlo|Lekce1_words_audio.mp3,162-3|Lekce 1|Slovní Zásoba
nhà may|2,1|tovarna|Lekce1_words_audio.mp3,166-3|Lekce 1|Slovní Zásoba
nhà thơ|2,1|basnik, basnika|Lekce1_words_audio.mp3,171-3|Lekce 1|Slovní Zásoba
nhà văn|2,1|spisovatel, spisovatelka|Lekce1_words_audio.mp3,175-3|Lekce 1|Slovní Zásoba
núi|5|hora|Lekce1_words_audio.mp3,180-3|Lekce 1|Slovní Zásoba
ơi|1|castice vokativu|Lekce1_words_audio.mp3,185-2|Lekce 1|Slovní Zásoba
phải|4|spravny|Lekce1_words_audio.mp3,190-2|Lekce 1|Slovní Zásoba
rạp phim|6,1|kino|Lekce1_words_audio.mp3,195-3|Lekce 1|Slovní Zásoba
sinh viên|1,1|student, studentka|Lekce1_words_audio.mp3,200-3|Lekce 1|Slovní Zásoba
sông|1|reka|Lekce1_words_audio.mp3,204-2|Lekce 1|Slovní Zásoba
thầy giáo|2,5|pan ucitel|Lekce1_words_audio.mp3,208-3|Lekce 1|Slovní Zásoba
thư viện|1,6|knihovna|Lekce1_words_audio.mp3,217-4|Lekce 1|Slovní Zásoba
trưòng đại học|2,6,6|vysoka skola|Lekce1_words_audio.mp3,222-3|Lekce 1|Slovní Zásoba
trưòng đại học tổng hợp|2,6,6,5,6|universita|Lekce1_words_audio.mp3,228-3|Lekce 1|Slovní Zásoba
trưòng học|2,6|skola|Lekce1_words_audio.mp3,233-2|Lekce 1|Slovní Zásoba
và|2|a|Lekce1_words_audio.mp3,237-2|Lekce 1|Slovní Zásoba
vườn|2|zahrada|Lekce1_words_audio.mp3,242-2|Lekce 1|Slovní Zásoba
à|2|tázací částice|Lekce2_words_audio.mp3,6-2|Lekce 2|Slovní Zásoba
ạ|6|zdvořilostní částice|Lekce2_words_audio.mp3,11-2|Lekce 2|Slovní Zásoba
áo|5|halenka, košile, sako, bunda|Lekce2_words_audio.mp3,15-2|Lekce 2|Slovní Zásoba
ảnh|4|fotografie|Lekce2_words_audio.mp3,20-2|Lekce 2|Slovní Zásoba
bác|5|strýc, teta|Lekce2_words_audio.mp3,24-2|Lekce 2|Slovní Zásoba
bàn|2|stůl|Lekce2_words_audio.mp3,28-2|Lekce 2|Slovní Zásoba
bạn|6|kamarád, kamarádka; přítel, přítelkyně|Lekce2_words_audio.mp3,32-2|Lekce 2|Slovní Zásoba
bản đồ|4,2|mapa|Lekce2_words_audio.mp3,36-2|Lekce 2|Slovní Zásoba
bảng|4|tabule|Lekce2_words_audio.mp3,41-2|Lekce 2|Slovní Zásoba
bánh|5|koláč|Lekce2_words_audio.mp3,45-2|Lekce 2|Slovní Zásoba
báo|5|noviny|Lekce2_words_audio.mp3,49-2|Lekce 2|Slovní Zásoba
bát|5|miska|Lekce2_words_audio.mp3,53-2|Lekce 2|Slovní Zásoba
bóng|5|míč|Lekce2_words_audio.mp3,58-2|Lekce 2|Slovní Zásoba
bố|5|otec|Lekce2_words_audio.mp3,62-2|Lekce 2|Slovní Zásoba
bút|5|pero|Lekce2_words_audio.mp3,67-2|Lekce 2|Slovní Zásoba
bút chì|5,2|tužka|Lekce2_words_audio.mp3,70-2|Lekce 2|Slovní Zásoba
cá|5|ryba|Lekce2_words_audio.mp3,74-2|Lekce 2|Slovní Zásoba
cam|1|pomeranč|Lekce2_words_audio.mp3,78-2|Lekce 2|Slovní Zásoba
cặp sách|6,5|školní aktovka|Lekce2_words_audio.mp3,82-2|Lekce 2|Slovní Zásoba
chim|1|pták|Lekce2_words_audio.mp3,86-2|Lekce 2|Slovní Zásoba
chó|5|pes|Lekce2_words_audio.mp3,90-2|Lekce 2|Slovní Zásoba
chuối|5|banán|Lekce2_words_audio.mp3,94-2|Lekce 2|Slovní Zásoba
chuột|6|myš|Lekce2_words_audio.mp3,98-2|Lekce 2|Slovní Zásoba
cốc|5|hrnek, sklenička|Lekce2_words_audio.mp3,102-2|Lekce 2|Slovní Zásoba
dê|1|koza|Lekce2_words_audio.mp3,106-2|Lekce 2|Slovní Zásoba
dừa|2|kokos|Lekce2_words_audio.mp3,110-2|Lekce 2|Slovní Zásoba
dứa|5|ananas|Lekce2_words_audio.mp3,114-2|Lekce 2|Slovní Zásoba
đài|2|rádio|Lekce2_words_audio.mp3,119-2|Lekce 2|Slovní Zásoba
đài thu thanh|2,1,1|rádio|Lekce2_words_audio.mp3,124-2|Lekce 2|Slovní Zásoba
đất|5|zem, hlína|Lekce2_words_audio.mp3,130-2|Lekce 2|Slovní Zásoba
đèn|2|lampa|Lekce2_words_audio.mp3,135-2|Lekce 2|Slovní Zásoba
đĩa|3|talíř|Lekce2_words_audio.mp3,138-2|Lekce 2|Slovní Zásoba
đôi|1|pár|Lekce2_words_audio.mp3,143-2|Lekce 2|Slovní Zásoba
đồng hồ|2,2|hodinky|Lekce2_words_audio.mp3,147-2|Lekce 2|Slovní Zásoba
đũa|3|jídelní hůlky|Lekce2_words_audio.mp3,150-2|Lekce 2|Slovní Zásoba
găng tay|1,1|rukavice|Lekce2_words_audio.mp3,155-2|Lekce 2|Slovní Zásoba
ghế|5|židle|Lekce2_words_audio.mp3,160-2|Lekce 2|Slovní Zásoba
gì|2|co|Lekce2_words_audio.mp3,165-2|Lekce 2|Slovní Zásoba
giầy|2|boty|Lekce2_words_audio.mp3,170-2|Lekce 2|Slovní Zásoba
giày|2|boty|Lekce2_words_audio.mp3,175-2|Lekce 2|Slovní Zásoba
giấy|5|papír|Lekce2_words_audio.mp3,179-2|Lekce 2|Slovní Zásoba
giường|2|postel|Lekce2_words_audio.mp3,183-2|Lekce 2|Slovní Zásoba
lá|5|list (stromu)|Lekce2_words_audio.mp3,187-2|Lekce 2|Slovní Zásoba
lê|1|hruška|Lekce2_words_audio.mp3,191-2|Lekce 2|Slovní Zásoba
lược|6|hřeben|Lekce2_words_audio.mp3,195-2|Lekce 2|Slovní Zásoba
mẹ|6|matka|Lekce2_words_audio.mp3,200-2|Lekce 2|Slovní Zásoba
mèo|2|kočka|Lekce2_words_audio.mp3,205-2|Lekce 2|Slovní Zásoba
mũ|3|čepice, klobouk|Lekce2_words_audio.mp3,209-2|Lekce 2|Slovní Zásoba
nón|5|vietnamský kónický klobouk|Lekce2_words_audio.mp3,213-2|Lekce 2|Slovní Zásoba
phim|1|film|Lekce2_words_audio.mp3,218-2|Lekce 2|Slovní Zásoba
quần|2|kalhoty|Lekce2_words_audio.mp3,222-2|Lekce 2|Slovní Zásoba
quần áo|2,5|oblečení|Lekce2_words_audio.mp3,227-2|Lekce 2|Slovní Zásoba
rau|1|zelenina|Lekce2_words_audio.mp3,232-2|Lekce 2|Slovní Zásoba
sách|5|kniha|Lekce2_words_audio.mp3,237-2|Lekce 2|Slovní Zásoba
sách giáo khoa|5,5,1|učebnice|Lekce2_words_audio.mp3,243-2|Lekce 2|Slovní Zásoba
táo|5|jablko|Lekce2_words_audio.mp3,249-2|Lekce 2|Slovní Zásoba
tạp chí|6,5|časopis|Lekce2_words_audio.mp3,253-2|Lekce 2|Slovní Zásoba
thìa|2|lžíce|Lekce2_words_audio.mp3,258-2|Lekce 2|Slovní Zásoba
thư|1|dopis|Lekce2_words_audio.mp3,262-2|Lekce 2|Slovní Zásoba
tiếu thuyết|5,5|román|Lekce2_words_audio.mp3,267-2|Lekce 2|Slovní Zásoba
trâu|1|buvol|Lekce2_words_audio.mp3,272-2|Lekce 2|Slovní Zásoba
tranh|1|obraz|Lekce2_words_audio.mp3,278-2|Lekce 2|Slovní Zásoba
trứng|5|vejce|Lekce2_words_audio.mp3,282-2|Lekce 2|Slovní Zásoba
tủ|4|skříň|Lekce2_words_audio.mp3,286-2|Lekce 2|Slovní Zásoba
tường|2|stěna, zeď|Lekce2_words_audio.mp3,290-2|Lekce 2|Slovní Zásoba
từ điển|2,4|slovník|Lekce2_words_audio.mp3,295-2|Lekce 2|Slovní Zásoba
ừ|2|jo, ano|Lekce2_words_audio.mp3,300-2|Lekce 2|Slovní Zásoba
vâng|1|ano|Lekce2_words_audio.mp3,306-2|Lekce 2|Slovní Zásoba
vịt|6|kachna|Lekce2_words_audio.mp3,311-2|Lekce 2|Slovní Zásoba
voi|1|slon|Lekce2_words_audio.mp3,316-2|Lekce 2|Slovní Zásoba
vở|3|sešit|Lekce2_words_audio.mp3,321-2|Lekce 2|Slovní Zásoba
vô tuyến|1,5|televize|Lekce2_words_audio.mp3,326-3|Lekce 2|Slovní Zásoba
Tôi muốn đến nhà ga|0|Chci (jet) na nádraží|f0483.mp3,0-5|Ve městě|Fráze
Tôi muốn đến sân bay / phi trường|0|Chci (jet) na letiště|f0484.mp3,0-5|Ve městě|Fráze
Tôi muốn vào trung tâm|0|Chci (jet) do centra|f0485.mp3,0-5|Ve městě|Fráze
Tôi đến nhà ga như thế nào?|0|Jak se dostanu na nádraží?|f0486.mp3,0-6|Ve městě|Fráze
Tôi đến phi trường như thế nào?|0|Jak se dostanu na letiště?|f0487.mp3,0-7|Ve městě|Fráze
Tôi vào trung tâm thành phố như thế nào?|0|Jak se dostanu do centra?|f0488.mp3,0-8|Ve městě|Fráze
Tôi cần một chiếc xe tắc xi|0|Potřebuji taxi|f0489.mp3,0-6|Ve městě|Fráze
Tôi cần một cái bản đồ thành phố|0|Potřebuji plán města|f0490.mp3,0-7|Ve městě|Fráze
Bàn này còn trống không?|0|Je ten stůl volný?|f0563.mp3,0-5|V restauraci 1|Fráze
Tôi muốn xin tờ thực đơn|0|Přineste mi prosím jídelní lístek|f0564.mp3,0-5|V restauraci 1|Fráze
Bạn có thể giới thiệu cho tôi món gì?|0|Co byste nám doporučil / doporučila?|f0565.mp3,0-7|V restauraci 1|Fráze
Tôi muốn một cốc / ly bia|0|Dal / dala bych si rád pivo|f0566.mp3,0-5|V restauraci 1|Fráze
Tôi muốn một cốc / ly nước khoáng|0|Dal / dala bych si rád minerálku|f0567.mp3,0-5|V restauraci 1|Fráze
Tôi muốn một cốc / ly nước cam|0|Dal / dala bych si rád pomerančový džus|f0568.mp3,0-6|V restauraci 1|Fráze
Tôi muốn một cốc / ly cà phê|0|Dal / dala bych si si rád kávu|f0569.mp3,0-5|V restauraci 1|Fráze
Tôi muốn một cốc / ly cà phê với sữa|0|Dal / dala bych si rád kávu s mlékem|f0570.mp3,0-7|V restauraci 1|Fráze
Chúng tôi tìm một cửa hàng thể thao|0|Hledáme obchod se sportovními potřebami|f1043.mp3,0-8|Obchody|Fráze
Chúng tôi tìm một cửa hàng / tiệm bán thịt|0|Hledáme masnu / řeznictví|f1044.mp3,0-8|Obchody|Fráze
Chúng tôi tìm một hiệu thuốc|0|Hledáme lékárnu|f1045.mp3,0-7|Obchody|Fráze
Vì chúng tôi muốn mua một quả bóng đá|0|Chceme totiž koupit fotbalový míč|f1046.mp3,0-10|Obchody|Fráze
Vì chúng tôi muốn mua xúc xích Ý |0|Chceme totiž koupit salám|f1047.mp3,0-9|Obchody|Fráze
Vì chúng tôi muốn mua thuốc / dược phẩm|0|Chceme totiž koupit léky|f1048.mp3,0-8|Obchody|Fráze
Chúng tôi tìm một cửa hàng thể thao để mua một quả bóng đá|0|Hledáme obchod se sportovními potřebami, protože chceme koupit fotbalový míč|f1049.mp3,0-16|Obchody|Fráze
Chúng tôi tìm một cửa hàng / tiệm bán thịt để mua xúc xích Ý|0|Hledáme řeznictví, protože chceme koupit salám|f1050.mp3,0-14|Obchody|Fráze
Tôi lấy cái này|0|Vezmu si tuto|f1076.mp3,0-4|Nakupování|Fráze
Tôi thích cái này|0|Tato se mi líbí|f1075.mp3,0-5|Nakupování|Fráze
